time_point,id,section,section_id,submitted,attempt,"603641: I feel comfortable reading, analyzing, and reacting to journal reports on clinical trials.",1,603642: I have previous experience working with or around clinical trials.,1,603643: I feel I can critically evaluate a trial and point out any flaws in design or interpretation.,1,603644: I know the purpose of a clinical trial and can describe the pros and cons of this type of research methodology as compared to others.,1,603645: It is important to consider non-clinical factors such as socioeconomic status and where a research subject lives when designing a clinical trial and enrolling research subjects.,1,"603646: I feel I can take the principles I have learned in other courses (biostatistics, research methodology, etc) and apply them to clinical trials today.",1,"603647: I fully understand the role of ethics committees, HIPAA, and Data Safety Monitoring Boards in the oversight of clinical trials.",1,603648: I feel I can discern the level of impact a trial will have on the health community overall given the quality of the trial methodology.,1,n correct,n incorrect,score
pre-course,46693,Medical Bioinformatics 5512 0001 Clinical Trials,71036,2020-01-27 17:38:43 UTC,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,1,7,5
pre-course,44478,Medical Bioinformatics 5512 0001 Clinical Trials,71036,2020-01-24 22:32:31 UTC,1,FALSE,0,TRUE,1,FALSE,0,TRUE,1,TRUE,1,TRUE,1,TRUE,1,FALSE,0,5,3,5
pre-course,44404,Medical Bioinformatics 5512 0001 Clinical Trials,71036,2020-01-24 20:15:43 UTC,1,FALSE,0,FALSE,0,FALSE,0,TRUE,1,TRUE,1,TRUE,1,TRUE,1,FALSE,0,4,4,5
pre-course,5679,Medical Bioinformatics 5512 0001 Clinical Trials,71036,2020-01-23 12:53:57 UTC,1,TRUE,1,FALSE,0,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,2,6,5
pre-course,24411,Medical Bioinformatics 5512 0001 Clinical Trials,71036,2020-01-23 01:59:39 UTC,1,TRUE,1,TRUE,1,FALSE,0,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,7,1,5
pre-course,60228,Medical Bioinformatics 5512 0001 Clinical Trials,71036,2020-01-20 18:27:11 UTC,1,TRUE,1,FALSE,0,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,7,1,5
pre-course,6351,Medical Bioinformatics 5512 0001 Clinical Trials,71036,2020-01-18 15:25:29 UTC,1,FALSE,0,FALSE,0,FALSE,0,TRUE,1,TRUE,1,FALSE,0,FALSE,0,FALSE,0,2,6,5
post-course,5679,Medical Bioinformatics 5512 0001 Clinical Trials,71036,2020-05-08 19:41:16 UTC,1,FALSE,0,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,7,1,5
post-course,24411,Medical Bioinformatics 5512 0001 Clinical Trials,71036,2020-05-07 17:50:00 UTC,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,8,0,5
post-course,44478,Medical Bioinformatics 5512 0001 Clinical Trials,71036,2020-05-06 14:14:41 UTC,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,8,0,5
post-course,60228,Medical Bioinformatics 5512 0001 Clinical Trials,71036,2020-05-05 15:00:52 UTC,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,8,0,5
post-course,44404,Medical Bioinformatics 5512 0001 Clinical Trials,71036,2020-05-04 00:25:08 UTC,1,FALSE,0,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,7,1,5
post-course,46693,Medical Bioinformatics 5512 0001 Clinical Trials,71036,2020-05-03 22:00:23 UTC,1,FALSE,0,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,7,1,5
post-course,6351,Medical Bioinformatics 5512 0001 Clinical Trials,71036,2020-05-01 22:05:37 UTC,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,TRUE,1,8,0,5